年齢,総数,男性,女性
0,17,6,11
1,21,8,13
2,25,14,11
3,29,15,14
4,26,15,11
5,27,10,17
6,34,16,18
7,33,15,18
8,29,17,12
9,34,18,16
10,37,19,18
11,48,23,25
12,40,16,24
13,44,27,17
14,63,26,37
15,42,23,19
16,43,20,23
17,48,27,21
18,54,24,30
19,51,24,27
20,40,16,24
21,47,27,20
22,41,27,14
23,37,21,16
24,22,11,11
25,32,17,15
26,28,21,7
27,26,15,11
28,35,20,15
29,31,16,15
30,34,19,15
31,35,18,17
32,38,21,17
33,34,14,20
34,42,25,17
35,47,24,23
36,39,23,16
37,54,30,24
38,44,21,23
39,58,31,27
40,38,17,21
41,62,39,23
42,61,31,30
43,62,26,36
44,62,34,28
45,67,37,30
46,82,44,38
47,69,30,39
48,90,52,38
49,64,32,32
50,92,48,44
51,104,50,54
52,110,61,49
53,103,50,53
54,116,62,54
55,121,64,57
56,89,42,47
57,112,49,63
58,112,63,49
59,86,48,38
60,99,57,42
61,93,49,44
62,88,42,46
63,88,49,39
64,91,47,44
65,90,48,42
66,104,63,41
67,112,57,55
68,113,59,54
69,112,58,54
70,120,61,59
71,149,72,77
72,146,62,84
73,161,78,83
74,167,78,89
75,190,85,105
76,198,101,97
77,212,116,96
78,212,106,106
79,90,41,49
80,100,31,69
81,134,58,76
82,136,48,88
83,121,60,61
84,118,55,63
85,92,29,63
86,84,38,46
87,69,25,44
88,69,27,42
89,53,17,36
90,77,26,51
91,41,14,27
92,34,10,24
93,29,5,24
94,32,6,26
95,17,4,13
96,22,4,18
97,15,4,11
98,10,1,9
99,35,0,35